Year,Operator,Location,AC Type,Passengers,Crew,Fatalities
1971,Philippine Air Force,San Jose,Douglas C-47A,36,4,39
1971,New England Aviaiton,Manchester,Beechcraft C35,3,1,4
1971,Aviateca,Guatemala City,Curtiss C-46A-55-CK,32,3,5
1971,Aviogenex,Rijeka,Tupolev TU-134A,76,7,78
1971,Aerolineas Flecha Austral - ALFA,Santiago,Curtiss C-46,2,2,4
1971,Private,Roanoke,Aero Commander 680E,5,1,6
1971,Hughes Airwest,Duarte,McDonnell Douglas DC-9-31 / F4-B,44,7,50
1971,Allegheny Airlines,New Haven,Convair CV-580,28,3,28
1971,U.S. Air Force,North Pacific Ocean,Boeing - EC-135N,20,4,24
1971,SAVCO,Arica,Douglas DC-6,4,2,6
1971,Shelter Cove Sea Park,Garberville,Douglas DC-3,21,3,17
1971,Toa Domestic Airline,Hokkaido,NAMC YS-11A-227,64,4,68
1971,Air Ivoire,Bamako,Douglas DC-3,4,2,6
1971,Pan American World Airways,Manila,Boeing 707-321CF,0,4,4
1971,Aeroflot,Irkutsk,Tupolev TU-104B,118,8,97
1971,Pan American World Airways,San Francisco,Boeing B-747-121,197,21,37
1971,All Nippon Airways,Morioko,Boeing B-727-281,155,9,163
1971,French Air Force,Pau,Nord 2501 Noratlas,36,3,0
1971,U.S. Army,Pegnitz,Boeing Vertol CH-47A,32,5,37
1971,Downeast Airlines,Augusta,Piper PA-31,7,1,3
1971,Malev Hungarian Airlines,Copenhagen,Ilyushin IL-18D,25,9,32
1971,Alaska Airlines,Juneau,Boeing B-727-193,104,7,111
1971,Pan International,Hasloh,BAC One-Eleven 515FB,115,6,22
1971,Yemen Airlines,Presevo,Douglas DC-3,3,2,5
1971,Malev Hungarian Airlines,Kiev,Tupolev TU-134A,41,8,49
1971,Balkan Bulgarian Airlines,Rila mountain,Antonov An-14,7,2,9
1971,Cruzeiro,Sena Madureira,Douglas DC-3,28,4,32
1971,British European Airways,Aarsele,Vickers Vanguard 951,55,8,63
1971,Aeroflot,Moscow,Tupolev TU-104B,18,7,25
1971,Scenic Air Lines,Colorado City,Cessna 402,9,1,10
1971,Aerolineas TAO,San Vicente del Caguan,Douglas C-47A,17,4,19
1971,Chicago and Southern Airlines,Peoria,Beech E18S,14,2,16
1971,Vietnamese Air Force,Qui Nhon,Douglas C-47,20,3,22
1971,Monmouth Airways,Bath,Beechcraft B99,6,2,4
1971,Royal Air Force,Livorno,Lockheed C-130K Hercules,46,6,52
1971,Merpati Nusantara Airlines,Padang,Vickers Viscount 828,62,7,69
1971,Aeroflot,Vinnitsa,Antonov AN-24,43,5,48
1971,China Airlines,Penghu Island,Sud Aviation SE-210 Caravelle III,17,8,25
1971,U.S. Army,Hue,Boeing Vertol CH-47C,29,5,34
1971,Aeroflot,Saratov,Antonov AN-24,53,4,57
1971,Eastern Air Lines,Raleigh,Douglas DC-9-31,24,5,2
1971,Sudan Airways,Tikaka,Fokker F-27 Friendship 200,37,5,10
1971,Indian Airlines,Chinnamanur,HAL-748-224 Srs.2,27,4,21
1971,Balkan Bulgarian Airlines,Sofia,Ilyushin IL-18B,62,11,28
1971,Lineas Aereas Nacionales SA,Puerto Inca,Lockheed 188A Electra,86,6,91
1972,SAESA,Chetumal,Hawker Siddeley HS-748-230 Srs. 2A,18,5,23
1972,Iberia Airlines,Sierra de Atalayasa,Sud-Aviation Caravelle VI-R,98,6,104
1972,SATENA,Betania,Douglas C-47,36,3,39
1972,Lineas Aéreas la Urraca,Funza,Vickers Viscount 837,15,5,20
1972,JAT Yugoslav Airlines,Srbská Kamenice,McDonnell Douglas DC-9-32,23,5,27
1972,Royal Air Laos,Tegal,Douglas DC-6,6,3,6
1972,Air America,Pha Khao,de Havilland Canada C-7A Caribou,34,4,1
1972,TAC Colombia,Valledupar,Fairchild F-27,15,4,19
1972,Royal Air Lao,Vientiane,Douglas DC-4,17,6,23
1972,Mohawk Airlines,Albany,Fairchild-Hiller FH-227-B,45,3,16
1972,Sterling Airways,Al Fujayrah,Aerospatiale Caravelle Super 10B,106,6,112
1972,Egyptair,Shamsam Mountains,McDonnell Douglas DC-9-32,13,9,22
1972,VASP,Rio de Janeiro,NAMC YS-11A-211,21,4,25
1972,Aero Transporti Italiani,Ardinello di Amaseno,Fokker F-27 Friendship 200,15,3,18
1972,Helaire,New York,Bell 47J-2,2,1,3
1972,East African Airways,Addis Ababa,BAC Super VC-10 1154,96,11,43
1972,SATCO,Moyobamba,Douglas C-47D,2,4,6
1972,Air America,Nyot Mo,Pilatus PC6CH2,9,1,4
1972,Aeroflot,Bratsk,Yakovlev YAK-40,14,4,18
1972,Alitalia,Carini,McDonnell Douglas DC-8-43,108,7,115
1972,Aerotechnia,Venezuela,Douglas C-47B,5,2,7
1972,U.S. Army,Gia Dinh,Boeing Vertol CH47A,32,2,34
1972,Russian Navy,Svetlogorsk,Antonov An-26,0,9,9
1972,Aeroflot,Kharkov,Antonov AN-10A,115,7,122
1972,DTA Angola Airlines,Lobito,Fokker F-27 Friendship 200,19,6,22
1972,General Air,Helgoland,de Havilland Canada DHC-6 Twin Otter,10,3,8
1972,Petrolium,Dulac,Bell 205A,10,1,9
1972,Amazonese Importacao e Exportacao,Cruzeiro do Sul Acre,Lockheed 049 Constellation,15,3,11
1972,Delta Air Lines,Dallas,McDonnell Douglas DC-9-14,0,4,4
1972,Air America,Pleiku,Curtiss C-46A,29,3,32
1972,Vietnamese Air Force,an Loc,Boeing Vertol CH-47,0,47,47
1972,Aerolineas Flecha Austral,Santiago,Curtiss C-46D,0,3,3
1972,Japan Air Lines,New Delhi,McDonnell Douglas DC-8-53,76,11,82
1972,Cathay Pacific Airways,Pleiku,Convair CV-880-22M-21,71,10,81
1972,British European Airways,London Heathrow,Hawker Siddeley Trident 1C,112,6,118
1972,Prinair,Ponce,de Havilland DH-114 Heron 2B,18,2,5
1972,North Central Airlines,Appleton,Convair CV-580/De Hav. Twin Otter 100,8,5,13
1972,Pacific Southwest Airlines,San Francisco,Boeing 737-200,79,7,3
1972,Aviaco,Las Palmas,McDonnell Douglas DC-8-52,0,10,10
1972,Royal Norwegian Air Force,Grytoya,de Havilland Canada DHC-6 Twin Otter 100,17,2,19
1972,U.S. Marine Corps,Quang Tri,Sikorsky CH-53D,60,7,52
1972,Charter,Corfu Island,Sud-Aviation SE210 Caravelle,0,1,1
1972,Avianca,Villavicencio,Douglas DC-3,32,6,38
1972,Indian Airlines,Delhi,Fokker F-27 Friendship 100,14,4,18
1972,U.S. Air Force,Soc Trang,Lockheed C-130E,36,8,30
1972,Interflug,Konigs Wusterausen,Ilyushin IL-62,148,8,156
1972,Burma Airways,Sandoway,Douglas DC-3,27,4,26
1972,Lineas Areas Venezolanas,Canaima,Douglas C-47-DL,31,3,34
1972,Royal Australian Air Force,Papua,de Havilland Canada DHC-4 Caribou,26,3,25
1972,Aeroflot,Magnitogorsk,Ilyushin IL-18,93,9,102
1972,Ansett Airlines of Papua New Guinea,Mt. Giluwe,Shorts SC-7 Skyvan 3-300,3,1,4
1972,Servicios Aereas Virgen de Copacabana,Trinidad,Curtiss C-46A-40-CU,6,2,1
1972,Ethiopian Airlines,Gondar,Douglas DC-3,8,3,11
1972,Royal Nepalese Air Force,Dhulikhel,Douglas C-47,27,4,31
1972,Private,Sacramento,F-86 Sabrejet,0,1,0
1972,Air Vietnam,Ben Cat,Douglas C-54D-1-DC,8,5,10
1972,Aeroflot,Adler,Ilyushin IL-18B,108,8,108
1972,Cambodia Air,Kampot,Douglas DC-3,7,2,9
1972,Aeroflot,Moscow,Ilyushin IL-62,164,10,174
1972,Uruguayan Air Force - TAMU,San Fernando,Fairchild-Hiller FH-227D/LCD,40,5,29
1972,Private,the Alaska coast,Cessna 310C,3,1,4
1972,Olympic Airways,Athens,NAMC YS-11A-202,49,4,37
1972,Air Melanesie,Tanna,Britten-Norman BN-2A-6 Islander,7,1,1
1972,Air Inter,Noiretable,Vickers Viscount 724,63,5,60
1972,Aero Transporti Italiani,Poggiorsini,Fokker F-27 Friendship 200,24,3,27
1972,U.S. Army,My Tho,Boeing Vertol CH-47,0,22,22
1972,Balkan Bulgarian Airlines,Plovdiv,Ilyushin IL-14P,31,4,35
1972,Metro Air Systems,Elkton,Beech G18S,10,1,11
1972,Japan Air Lines,Moscow,McDonnell Douglas DC-8-62,61,15,62
1972,Spantax,Tenerife,Convair CV-990-30A-5 Coronado,148,7,155
1972,United Air Lines,Chicago,Boeing B-737-222,55,6,43
1972,Pakistan International Airlines,Rawalpindi,Fokker F-27 Friendship 400,22,4,26
1972,Delta Air Lines,Chicago,Convair CV-880,122,11,10
1972,Air Guadeloupe,Antilles,de Havilland Canada DHC-6 Twin Otter 300,11,2,13
1972,Braathens,Skaugum,Fokker F-28 Fellowship 1000,42,3,40
1972,Eastern Air Lines,Everglades National Park,Lockheed L-1011 TriStar 1,163,13,103
1972,American Express Leasing,San Juan,Douglas DC-7CF,2,3,5
1973,Pacific Western Airlines,Edmonton,Boeing 707-321C,0,5,5
1973,British European Airways,Glasgow,Vickers 802 Viscount,2,2,4
1973,Aeroflot,Perm,Antonov An-24B,34,5,39
1973,Alia Royal Jordanian Airlines,Kano,Boeing B-707-3D3C,193,9,176
1973,TAN,Tegucigalpa,Douglas DC-6A,0,3,3
1973,Egyptair,Kyrenia,Ilyushin IL-18D,30,7,37
1973,Petrolium Helo Inc.,Morgan City,Bell 206B,4,1,5
1973,Aeroflot,Prague,Tupolev TU-154,87,13,66
